Station1-BinMagazine								Station2-BinMagazine								Station3-BinMagazine								
ComponentType1		ComponentType2		ComponentType11		ComponentType12		ComponentType3		ComponentType4		ComponentType11		ComponentType13		ComponentType5		ComponentType6		ComponentType12		ComponentType14		
Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	
0	6																						
		0	3																				
				0	4																		
						0	3																
								0	2														
										0	19												
												0	4										
														0	55								
																0	14						
																		0	11				
																				0	10		
																						0	13
																				656.233365878589	4		
																				656.233365878589	3.5		
												656.322716992145	0.25										
														656.322716992145	4								
														656.322716992145	3								
														656.322716992145	2								
														656.322716992145	1								
														656.322716992145	0								
				656.322716992145	0.75																		
						656.322716992145	1.2																
																				657.233365878589	3		
																				657.233365878589	2.6		
												657.322716992145	0										
														657.322716992145	4								
														657.322716992145	3								
														657.322716992145	2								
														657.322716992145	1								
														657.322716992145	0								
				665.83329308902	0.5																		
						665.83329308902	1																
																				677.322716992145	3		
																				677.322716992145	2.7		
																				686.233365878589	2		
																				686.233365878589	1.8		
												686.322716992145	0.75										
														686.322716992145	9								
														686.322716992145	8								
														686.322716992145	7								
														686.322716992145	6								
														686.322716992145	5								
				686.322716992145	1.25																		
						686.322716992145	0.8																
												687.322716992145	0.5										
														687.322716992145	4								
														687.322716992145	3								
														687.322716992145	2								
														687.322716992145	1								
														687.322716992145	0								
				697.555562305161	1																		
						697.555562305161	0.6																
												706.322716992145	0.25										
														706.322716992145	4								
														706.322716992145	3								
														706.322716992145	2								
														706.322716992145	1								
														706.322716992145	0								
																				707.322716992145	3		
																				707.322716992145	2.9		
				708.284009258047	0.75																		
						708.284009258047	0.4																
																				708.322716992145	2		
												722.269975862502	0										
														722.269975862502	4								
														722.269975862502	3								
														722.269975862502	2								
														722.269975862502	1								
														722.269975862502	0								
				722.269975862502	0.5																		
						722.269975862502	1.2																
																				727.322716992145	3.1		
																				743.269975862502	3		
																				743.269975862502	2.2		
												754.336047832365	0.75										
														754.336047832365	9								
														754.336047832365	8								
														754.336047832365	7								
														754.336047832365	6								
														754.336047832365	5								
				754.336047832365	1.25																		
						754.336047832365	1																
												755.336047832365	0.5										
														755.336047832365	4								
														755.336047832365	3								
														755.336047832365	2								
														755.336047832365	1								
														755.336047832365	0								
				762.867656162119	1																		
						762.867656162119	0.8																
												775.233365878589	0.25										
														775.233365878589	4								
														775.233365878589	3								
														775.233365878589	2								
														775.233365878589	1								
														775.233365878589	0								
				775.233365878589	0.75																		
						775.233365878589	0.6																
																				775.336047832365	4		
																				775.336047832365	3.3		
												776.233365878589	0										
														776.233365878589	4								
														776.233365878589	3								
														776.233365878589	2								
														776.233365878589	1								
														776.233365878589	0								
																				776.336047832365	3		
																				776.336047832365	2.4		
				784.867852855593	0.5																		
						784.867852855593	0.4																
																				796.233365878589	4		
																				796.233365878589	3.5		
																				805.336047832365	3		
																				805.336047832365	2.6		
												806.322716992145	0.75										
														806.322716992145	9								
														806.322716992145	8								
														806.322716992145	7								
														806.322716992145	6								
														806.322716992145	5								
				806.322716992145	1.25																		
						806.322716992145	1.2																
												807.322716992145	0.5										
														807.322716992145	4								
														807.322716992145	3								
														807.322716992145	2								
														807.322716992145	1								
														807.322716992145	0								
				814.959728715854	1																		
						814.959728715854	1																
												826.322716992145	0.25										
														826.322716992145	4								
														826.322716992145	3								
														826.322716992145	2								
														826.322716992145	1								
														826.322716992145	0								
				826.322716992145	0.75																		
						826.322716992145	0.8																
																				827.322716992145	4		
																				827.322716992145	3.7		
												827.322716992145	0										
														827.322716992145	4								
														827.322716992145	3								
														827.322716992145	2								
														827.322716992145	1								
														827.322716992145	0								
																				828.322716992145	3		
																				828.322716992145	2.8		
				838.136168185697	0.5																		
						838.136168185697	0.6																
																				847.322716992145	3		
																				847.322716992145	2.9		
												856.322716992145	0.75										
														856.322716992145	4								
														856.322716992145	3								
														856.322716992145	2								
														856.322716992145	1								
														856.322716992145	0								
				856.322716992145	1.25																		
						856.322716992145	0.4																
																				857.322716992145	2		
												862.269975862502	0.5										
														862.269975862502	4								
														862.269975862502	3								
														862.269975862502	2								
														862.269975862502	1								
														862.269975862502	0								
				865.261428633327	1																		
						865.261428633327	1.2																
																				877.322716992145	3.1		
																				883.269975862502	3		
																				883.269975862502	2.2		
												894.336047832365	0.25										
														894.336047832365	4								
														894.336047832365	3								
														894.336047832365	2								
														894.336047832365	1								
														894.336047832365	0								
				894.336047832365	0.75																		
						894.336047832365	1																
												895.336047832365	0										
														895.336047832365	4								
														895.336047832365	3								
														895.336047832365	2								
														895.336047832365	1								
														895.336047832365	0								
				902.978115364781	0.5																		
						902.978115364781	0.8																
																				915.336047832365	4		
																				915.336047832365	3.3		
																				916.336047832365	3		
																				916.336047832365	2.4		
												925.233365878589	0.75										
														925.233365878589	9								
														925.233365878589	8								
														925.233365878589	7								
														925.233365878589	6								
														925.233365878589	5								
				925.233365878589	1.25																		
						925.233365878589	0.6																
												926.233365878589	0.5										
														926.233365878589	4								
														926.233365878589	3								
														926.233365878589	2								
														926.233365878589	1								
														926.233365878589	0								
				936.663254830511	1																		
						936.663254830511	1.4																
																				946.233365878589	4		
																				946.233365878589	3.5		
												946.322716992145	0.25										
														946.322716992145	4								
														946.322716992145	3								
														946.322716992145	2								
														946.322716992145	1								
														946.322716992145	0								
																				947.233365878589	3		
																				947.233365878589	2.6		
				947.316663972537	0.75																		
						947.316663972537	1.2																
												948.316663972537	0										
														948.316663972537	4								
														948.316663972537	3								
														948.316663972537	2								
														948.316663972537	1								
														948.316663972537	0								
				955.899888773257	0.5																		
						955.899888773257	1																
																				967.322716992145	3		
																				967.322716992145	2.7		
																				976.233365878589	2		
																				976.233365878589	1.8		
												976.322716992145	0.75										
														976.322716992145	9								
														976.322716992145	8								
														976.322716992145	7								
														976.322716992145	6								
														976.322716992145	5								
				976.322716992145	1.25																		
						976.322716992145	0.8																
												977.322716992145	0.5										
														977.322716992145	4								
														977.322716992145	3								
														977.322716992145	2								
														977.322716992145	1								
														977.322716992145	0								
				988.103906277011	1																		
						988.103906277011	0.6																
												996.322716992145	0.25										
														996.322716992145	4								
														996.322716992145	3								
														996.322716992145	2								
														996.322716992145	1								
														996.322716992145	0								
				996.660402458479	0.75																		
						996.660402458479	0.4																
																				997.322716992145	3		
																				997.322716992145	2.9		
																				998.322716992145	2		
												1002.2699758625	0										
														1002.2699758625	4								
														1002.2699758625	3								
														1002.2699758625	2								
														1002.2699758625	1								
														1002.2699758625	0								
				1006.01263159388	0.5																		
						1006.01263159388	1.2																
																				1017.32271699214	3.1		
																				1027.32271699214	3		
																				1027.32271699214	2.2		
												1044.33604783236	0.75										
														1044.33604783236	9								
														1044.33604783236	8								
														1044.33604783236	7								
														1044.33604783236	6								
														1044.33604783236	5								
				1044.33604783236	1.25																		
						1044.33604783236	1																
												1045.33604783236	0.5										
														1045.33604783236	4								
														1045.33604783236	3								
														1045.33604783236	2								
														1045.33604783236	1								
														1045.33604783236	0								
				1056.24221166279	1																		
						1056.24221166279	0.8																
												1065.23336587859	0.25										
														1065.23336587859	4								
														1065.23336587859	3								
														1065.23336587859	2								
														1065.23336587859	1								
														1065.23336587859	0								
																				1065.33604783236	4		
																				1065.33604783236	3.3		
																				1066.33604783236	3		
																				1066.33604783236	2.4		
				1068.17794684437	0.75																		
						1068.17794684437	0.6																
												1069.17794684437	0										
														1069.17794684437	4								
														1069.17794684437	3								
														1069.17794684437	2								
														1069.17794684437	1								
														1069.17794684437	0								
				1077.73262775326	0.5																		
						1077.73262775326	0.4																
																				1086.23336587859	4		
																				1086.23336587859	3.5		
																				1095.33604783236	3		
																				1095.33604783236	2.6		
												1096.32271699214	0.75										
														1096.32271699214	9								
														1096.32271699214	8								
														1096.32271699214	7								
														1096.32271699214	6								
														1096.32271699214	5								
				1096.32271699214	1.25																		
						1096.32271699214	1.2																
												1097.32271699214	0.5										
														1097.32271699214	4								
														1097.32271699214	3								
														1097.32271699214	2								
														1097.32271699214	1								
														1097.32271699214	0								
				1108.2689326275	1																		
						1108.2689326275	1																
												1116.32271699214	0.25										
														1116.32271699214	4								
														1116.32271699214	3								
														1116.32271699214	2								
														1116.32271699214	1								
														1116.32271699214	0								
																				1117.32271699214	4		
																				1117.32271699214	3.7		
																				1118.32271699214	3		
																				1118.32271699214	2.8		
				1120.17365893724	0.75																		
						1120.17365893724	0.8																
												1121.17365893724	0										
														1121.17365893724	4								
														1121.17365893724	3								
														1121.17365893724	2								
														1121.17365893724	1								
														1121.17365893724	0								
				1129.58100518883	0.5																		
						1129.58100518883	0.6																
																				1137.32271699214	3		
																				1137.32271699214	2.9		
												1146.32271699214	0.75										
														1146.32271699214	9								
														1146.32271699214	8								
														1146.32271699214	7								
														1146.32271699214	6								
														1146.32271699214	5								
				1146.32271699214	1.25																		
						1146.32271699214	0.4																
												1147.32271699214	0.5										
														1147.32271699214	4								
														1147.32271699214	3								
														1147.32271699214	2								
														1147.32271699214	1								
														1147.32271699214	0								
																				1147.32271699214	2		
				1155.06762944489	1																		
						1155.06762944489	0.2																
																				1167.32271699214	3.1		
																				1168.32271699214	3		
																				1168.32271699214	2.2		
												1184.33604783236	0.25										
														1184.33604783236	4								
														1184.33604783236	3								
														1184.33604783236	2								
														1184.33604783236	1								
														1184.33604783236	0								
				1184.33604783236	0.75																		
						1184.33604783236	1																
												1185.33604783236	0										
														1185.33604783236	4								
														1185.33604783236	3								
														1185.33604783236	2								
														1185.33604783236	1								
														1185.33604783236	0								
				1193.63740031621	0.5																		
						1193.63740031621	0.8																
																				1205.33604783236	4		
																				1205.33604783236	3.3		
																				1206.33604783236	3		
																				1206.33604783236	2.4		
												1215.23336587859	0.75										
														1215.23336587859	9								
														1215.23336587859	8								
														1215.23336587859	7								
														1215.23336587859	6								
														1215.23336587859	5								
				1215.23336587859	1.25																		
						1215.23336587859	0.6																
												1216.23336587859	0.5										
														1216.23336587859	4								
														1216.23336587859	3								
														1216.23336587859	2								
														1216.23336587859	1								
														1216.23336587859	0								
				1224.38515507432	1																		
						1224.38515507432	1.4																
																				1236.23336587859	4		
																				1236.23336587859	3.5		
												1236.32271699214	0.25										
														1236.32271699214	4								
														1236.32271699214	3								
														1236.32271699214	2								
														1236.32271699214	1								
														1236.32271699214	0								
				1236.32271699214	0.75																		
						1236.32271699214	1.2																
																				1237.23336587859	3		
																				1237.23336587859	2.6		
												1237.32271699214	0										
														1237.32271699214	4								
														1237.32271699214	3								
														1237.32271699214	2								
														1237.32271699214	1								
														1237.32271699214	0								
				1244.85013722182	0.5																		
						1244.85013722182	1																
																				1257.32271699214	3		
																				1257.32271699214	2.7		
																				1266.23336587859	2		
																				1266.23336587859	1.8		
												1266.32271699214	0.75										
														1266.32271699214	9								
														1266.32271699214	8								
														1266.32271699214	7								
														1266.32271699214	6								
														1266.32271699214	5								
				1266.32271699214	1.25																		
						1266.32271699214	0.8																
												1267.32271699214	0.5										
														1267.32271699214	4								
														1267.32271699214	3								
														1267.32271699214	2								
														1267.32271699214	1								
														1267.32271699214	0								
				1275.62597264028	1																		
						1275.62597264028	0.6																
												1286.32271699214	0.25										
														1286.32271699214	4								
														1286.32271699214	3								
														1286.32271699214	2								
														1286.32271699214	1								
														1286.32271699214	0								
				1286.32271699214	0.75																		
						1286.32271699214	0.4																
																				1287.32271699214	3		
																				1287.32271699214	2.9		
												1287.32271699214	0										
														1287.32271699214	4								
														1287.32271699214	3								
														1287.32271699214	2								
														1287.32271699214	1								
														1287.32271699214	0								
																				1288.32271699214	2		
				1295.6742574927	0.5																		
						1295.6742574927	1.2																
																				1307.32271699214	3.1		
																				1317.32271699214	3		
																				1317.32271699214	2.2		
												1334.33604783236	0.75										
														1334.33604783236	9								
														1334.33604783236	8								
														1334.33604783236	7								
														1334.33604783236	6								
														1334.33604783236	5								
				1334.33604783236	1.25																		
						1334.33604783236	1																
												1335.33604783236	0.5										
														1335.33604783236	4								
														1335.33604783236	3								
														1335.33604783236	2								
														1335.33604783236	1								
														1335.33604783236	0								
				1343.90564832938	1																		
						1343.90564832938	0.8																
												1355.23336587859	0.25										
														1355.23336587859	4								
														1355.23336587859	3								
														1355.23336587859	2								
														1355.23336587859	1								
														1355.23336587859	0								
				1355.23336587859	0.75																		
						1355.23336587859	0.6																
																				1355.33604783236	4		
																				1355.33604783236	3.3		
												1356.23336587859	0										
														1356.23336587859	4								
														1356.23336587859	3								
														1356.23336587859	2								
														1356.23336587859	1								
														1356.23336587859	0								
																				1356.33604783236	3		
																				1356.33604783236	2.4		
				1364.02066744592	0.5																		
						1364.02066744592	0.4																
																				1376.23336587859	4		
																				1376.23336587859	3.5		
																				1385.33604783236	3		
																				1385.33604783236	2.6		
												1386.32271699214	0.75										
														1386.32271699214	9								
														1386.32271699214	8								
														1386.32271699214	7								
														1386.32271699214	6								
														1386.32271699214	5								
				1386.32271699214	1.25																		
						1386.32271699214	1.2																
												1387.32271699214	0.5										
														1387.32271699214	4								
														1387.32271699214	3								
														1387.32271699214	2								
														1387.32271699214	1								
														1387.32271699214	0								
				1395.55478093293	1																		
						1395.55478093293	1																
												1406.32271699214	0.25										
														1406.32271699214	4								
														1406.32271699214	3								
														1406.32271699214	2								
														1406.32271699214	1								
														1406.32271699214	0								
				1406.32271699214	0.75																		
						1406.32271699214	0.8																
																				1407.32271699214	4		
																				1407.32271699214	3.7		
												1407.32271699214	0										
														1407.32271699214	4								
														1407.32271699214	3								
														1407.32271699214	2								
														1407.32271699214	1								
														1407.32271699214	0								
																				1408.32271699214	3		
																				1408.32271699214	2.8		
				1417.68246298422	0.5																		
						1417.68246298422	0.6																
																				1427.32271699214	3		
																				1427.32271699214	2.9		
												1436.32271699214	0.75										
														1436.32271699214	9								
														1436.32271699214	8								
														1436.32271699214	7								
														1436.32271699214	6								
														1436.32271699214	5								
				1436.32271699214	1.25																		
						1436.32271699214	0.4																
												1437.32271699214	0.5										
														1437.32271699214	4								
														1437.32271699214	3								
														1437.32271699214	2								
														1437.32271699214	1								
														1437.32271699214	0								
																				1437.32271699214	2		
				1445.32208395446	1																		
						1445.32208395446	1.2																
																				1457.32271699214	3.1		
																				1458.32271699214	3		
																				1458.32271699214	2.2		
												1474.33604783236	0.25										
														1474.33604783236	4								
														1474.33604783236	3								
														1474.33604783236	2								
														1474.33604783236	1								
														1474.33604783236	0								
				1474.33604783236	0.75																		
						1474.33604783236	1																
												1475.33604783236	0										
														1475.33604783236	4								
														1475.33604783236	3								
														1475.33604783236	2								
														1475.33604783236	1								
														1475.33604783236	0								
				1484.78909184601	0.5																		
						1484.78909184601	0.8																
																				1495.33604783236	4		
																				1495.33604783236	3.3		
																				1496.33604783236	3		
																				1496.33604783236	2.4		
												1505.23336587859	0.75										
														1505.23336587859	9								
														1505.23336587859	8								
														1505.23336587859	7								
														1505.23336587859	6								
														1505.23336587859	5								
				1505.23336587859	1.25																		
						1505.23336587859	0.6																
												1506.23336587859	0.5										
														1506.23336587859	4								
														1506.23336587859	3								
														1506.23336587859	2								
														1506.23336587859	1								
														1506.23336587859	0								
				1515.54871559752	1																		
						1515.54871559752	1.4																
																				1526.23336587859	4		
																				1526.23336587859	3.5		
												1526.32271699214	0.25										
														1526.32271699214	4								
														1526.32271699214	3								
														1526.32271699214	2								
														1526.32271699214	1								
														1526.32271699214	0								
				1526.32271699214	0.75																		
						1526.32271699214	1.2																
																				1527.23336587859	3		
																				1527.23336587859	2.6		
												1527.32271699214	0										
														1527.32271699214	4								
														1527.32271699214	3								
														1527.32271699214	2								
														1527.32271699214	1								
														1527.32271699214	0								
				1537.85830256961	1.5																		
						1537.85830256961	1																
																				1547.32271699214	3		
																				1547.32271699214	2.7		
																				1556.23336587859	2		
